TITLE     = "Plot3D DataSet"
VARIABLES = "x"
"y"
"u"
"v"
ZONE T="LES dx0.25mm"
 I=321, J=91, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 1.249999972E-03 2.500000119E-04 6.351879272E+02 4.783311462E+01
 1.500000013E-03 2.500000119E-04 6.787598877E+02 4.879170609E+01
 1.750000054E-03 2.500000119E-04 7.032974243E+02 2.767846298E+01
 2.000000095E-03 2.500000119E-04 6.958212891E+02 -1.229559708E+01
 2.249999903E-03 2.500000119E-04 6.557646484E+02 -5.267834473E+01
 2.499999944E-03 2.500000119E-04 5.933660889E+02 -5.499638748E+01
 2.749999985E-03 2.500000119E-04 5.336253052E+02 -3.595824814E+01
 3.000000026E-03 2.500000119E-04 4.936390991E+02 -1.620111465E+01
 3.250000067E-03 2.500000119E-04 4.750699158E+02 -4.954475403E+00
 3.500000108E-03 2.500000119E-04 4.730010986E+02 -6.878115535E-01
 3.749999916E-03 2.500000119E-04 4.848442383E+02 3.149501324E+00
 4.000000190E-03 2.500000119E-04 5.110337524E+02 8.755421638E+00
 4.250000231E-03 2.500000119E-04 5.445877075E+02 1.484403896E+01
 4.499999806E-03 2.500000119E-04 5.783140259E+02 1.876710510E+01
 4.749999847E-03 2.500000119E-04 6.080487671E+02 1.922997665E+01
 4.999999888E-03 2.500000119E-04 6.277908936E+02 1.609636688E+01
 5.249999929E-03 2.500000119E-04 6.360233765E+02 9.734416008E+00
 5.499999970E-03 2.500000119E-04 6.332932739E+02 9.224427342E-01
 5.750000011E-03 2.500000119E-04 6.199357300E+02 -8.989901543E+00
 6.000000052E-03 2.500000119E-04 5.959901733E+02 -1.657346725E+01
 6.250000093E-03 2.500000119E-04 5.634741821E+02 -1.874166298E+01
 6.500000134E-03 2.500000119E-04 5.312299194E+02 -1.560892010E+01
 6.750000175E-03 2.500000119E-04 5.111976013E+02 -9.660990715E+00
 7.000000216E-03 2.500000119E-04 5.065164795E+02 -3.257960320E+00
 7.249999791E-03 2.500000119E-04 5.130856934E+02 2.289132595E+00
 7.499999832E-03 2.500000119E-04 5.271318970E+02 6.530016422E+00
 7.749999873E-03 2.500000119E-04 5.456452026E+02 9.322996140E+00
 8.000000380E-03 2.500000119E-04 5.654671631E+02 1.055189800E+01
 8.249999955E-03 2.500000119E-04 5.833102417E+02 1.017395496E+01
